Field=#~Integer~#~50|Field=Description~String~Description~68|Field=Quantity~Integer~Quantity~51|Field=Supplier 1~String~Supplier 1~60|Field=Supplier Part Number 1~String~Supplier Part Number 1~60|Field=LibRef~String~LibRef~47|Field=Manufacturer 1~String~Manufacturer 1~62|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~45|Field=Supplier Currency 1~String~Supplier Currency 1~45|Field=Supplier Order Qty 1~Integer~Supplier Order Qty 1~45|Field=Supplier Stock 1~Integer~Supplier Stock 1~45|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~45|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~53|Field=Footprint~String~Footprint~67|Field=Designator~String~Designator~68|ReportField=Currency~<none>|ReportField=ProductionQuantity~2|ReportField=ProjectFileName~Incubator_HUZZAH32.PrjPcb|ReportField=ProjectFullPath~C:\Users\vojislav\OneDrive\IRNAS-Common\Electronics-Development\NewHarvest-incubator\Incubator_HUZZAH32-touch_buttons\Incubator_HUZZAH32.PrjPcb|ReportField=Title~Bill of Materials production For PCB Document [Incubator_HUZZAH32.PcbDoc]|ReportField=ReportTime~11:50:15 AM|ReportField=ReportDate~11/25/2018|ReportField=ReportDateTime~11/25/2018 11:50:15 AM|ReportField=OutputName~Bill of Materials production|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~32|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=Company~IRNAS|ReportField=ProjectTitle~Incubator-HUZZAH32|ReportField=Version~V0.2.1|ReportField=Website~irnas.eu|ReportField=DataSourceFileName~Incubator_HUZZAH32.PcbDoc|ReportField=DataSourceFullPath~C:\Users\vojislav\OneDrive\IRNAS-Common\Electronics-Development\NewHarvest-incubator\Incubator_HUZZAH32-touch_buttons\Incubator_HUZZAH32.PcbDoc|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|BOX HEADER 2.54MM MALE STR 10POS|1|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61201021621%26seller%3DFarnell%26sku%3D1642019%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}1642019{URL.TIP}Supplier|IDC10|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61201021621%26seller%3DFarnell%26sku%3D1642019%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Wurth%20Electronics{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61201021621%26seller%3DFarnell%26sku%3D1642019%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}61201021621{URL.TIP}Manufacturer|GBP|10|154|3.39|0.34|IDC10|IC1
2|0.33µF ±10% 50V X7R Ceramic Capacitor -55°C ~ 125°C Surface Mount, MLCC 0603 (1608 Metric) 0.063" L x 0.031" W (1.60mm x 0.80mm)|1|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTDK%26mpn%3DC1608X7R1H334K080AC%26seller%3DFarnell%26sku%3D2346907%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}2346907{URL.TIP}Supplier|0.33uF|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTDK%26mpn%3DC1608X7R1H334K080AC%26seller%3DFarnell%26sku%3D2346907%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}TDK{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTDK%26mpn%3DC1608X7R1H334K080AC%26seller%3DFarnell%26sku%3D2346907%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}C1608X7R1H334K080AC{URL.TIP}Manufacturer|GBP|10|8693|3.56|0.36|CAP0603|C1
3|Res Thick Film 0603 4.7K Ohm 1% 0.1W(1/10W) ±100ppm/C Molded SMD Automotive T/R|3|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%26mpn%3DERJ-3EKF4701V%26seller%3DFarnell%26sku%3D2303181%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}2303181{URL.TIP}Supplier|4K7|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%26mpn%3DERJ-3EKF4701V%26seller%3DFarnell%26sku%3D2303181%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Panasonic{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%26mpn%3DERJ-3EKF4701V%26seller%3DFarnell%26sku%3D2303181%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}ERJ-3EKF4701V{URL.TIP}Manufacturer|GBP|10|80620|0.4|0.04|RES0603|R1, R5, R6
4|FAIRCHILD SEMICONDUCTOR         KA7805ERTF             Linear Voltage Regulator, 7805, Fixed, 10V To 35V In, 5V And 1A Out, TO-252-3|1|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DON%2520Semiconductor%2520%252F%2520Fairchild%26mpn%3DKA7805ERTF%26seller%3DFarnell%26sku%3D2102585%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}2102585{URL.TIP}Supplier|5-20V|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DON%2520Semiconductor%2520%252F%2520Fairchild%26mpn%3DKA7805ERTF%26seller%3DFarnell%26sku%3D2102585%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}ON%20Semiconductor%20%2F%20Fairchild{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DON%2520Semiconductor%2520%252F%2520Fairchild%26mpn%3DKA7805ERTF%26seller%3DFarnell%26sku%3D2102585%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}KA7805ERTF{URL.TIP}Manufacturer|GBP|2|3982|1.41|0.71|DPAK248P950X240-3N|V1
5|NXP         PMEG2010ER             Schottky Rectifier, Single, 20 V, 1 A, SOD-123W, 2 Pins, 340 mV|1|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DNXP%2520Semiconductors%26mpn%3DPMEG2010ER%26seller%3DFarnell%26sku%3D1907681%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}1907681{URL.TIP}Supplier|20V,1A, SOD-123|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DNXP%2520Semiconductors%26mpn%3DPMEG2010ER%26seller%3DFarnell%26sku%3D1907681%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}NXP%20Semiconductors{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DNXP%2520Semiconductors%26mpn%3DPMEG2010ER%26seller%3DFarnell%26sku%3D1907681%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}PMEG2010ER{URL.TIP}Manufacturer|GBP|5|6820|1.22|0.24|SODFL350X110-2N|D1
6|Cap Ceramic 10pF 50V X7R 10% SMD 0603 125C T/R|4|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKyocera%2520AVX%26mpn%3D06035C100KAT2A%26seller%3DFarnell%26sku%3D2332633%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}2332633{URL.TIP}Supplier|10pF|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKyocera%2520AVX%26mpn%3D06035C100KAT2A%26seller%3DFarnell%26sku%3D2332633%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Kyocera%20AVX{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKyocera%2520AVX%26mpn%3D06035C100KAT2A%26seller%3DFarnell%26sku%3D2332633%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}06035C100KAT2A{URL.TIP}Manufacturer|GBP|10|0|1.92|0.19|CAP0603|C3, C5, C7, C9
7||4|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKEMET%26mpn%3DC0603C154K5RACAUTO%26seller%3DFarnell%26sku%3D2821222%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}2821222{URL.TIP}Supplier|150nF|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKEMET%26mpn%3DC0603C154K5RACAUTO%26seller%3DFarnell%26sku%3D2821222%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}KEMET{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKEMET%26mpn%3DC0603C154K5RACAUTO%26seller%3DFarnell%26sku%3D2821222%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}C0603C154K5RACAUTO{URL.TIP}Manufacturer|GBP|10|0|1.05|0.11|CAP0603|C4, C6, C8, C10
8|CAP CER 0.1UF 50V X7R 0603|1|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKEMET%26mpn%3DC0603C104J5RACAUTO%26seller%3DFarnell%26sku%3D2478241%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}2478241{URL.TIP}Supplier|0.1uF|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKEMET%26mpn%3DC0603C104J5RACAUTO%26seller%3DFarnell%26sku%3D2478241%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}KEMET{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKEMET%26mpn%3DC0603C104J5RACAUTO%26seller%3DFarnell%26sku%3D2478241%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}C0603C104J5RACAUTO{URL.TIP}Manufacturer|GBP|10|0|4.35|0.44|CAP0603|C2
9||1|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DHirose%26mpn%3DDM3CS-SF%26seller%3DFarnell%26sku%3D1764376%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}1764376{URL.TIP}Supplier|micro_SD|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DHirose%26mpn%3DDM3CS-SF%26seller%3DFarnell%26sku%3D1764376%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Hirose{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DHirose%26mpn%3DDM3CS-SF%26seller%3DFarnell%26sku%3D1764376%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}DM3CS-SF{URL.TIP}Manufacturer|GBP|2|18392|1.93|0.97|MICRO_SD|U6
10|Dip connectro for MCU|1|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DAdafruit%2520Industries%26mpn%3D3405%26seller%3DDigi-Key%26sku%3D1528-2181-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}1528-2181-ND{URL.TIP}Supplier|3405|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DAdafruit%2520Industries%26mpn%3D3405%26seller%3DDigi-Key%26sku%3D1528-2181-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Adafruit%20Industries{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DAdafruit%2520Industries%26mpn%3D3405%26seller%3DDigi-Key%26sku%3D1528-2181-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}3405{URL.TIP}Manufacturer|USD|2|412|39.9|19.95|ESP32|U1
